Product Category,Product Name,Product Price,Sold Units,Order Date,Region,City,State,Country,Discount,Customer Rating,Ship Date,Revenue,Sales,Profit
Electronics,Tablet,57.76,3,18/09/2024,North America,Port Katherinehaven,New York,San Marino,41.99,3,18/09/2024,173.28,100.52,-3.45
Electronics,Smartwatch,215.91,16,28/04/2023,Europe,Huntville,Oregon,Bahrain,32.91,5,01/05/2023,3454.56,2317.66,244.93
Home & Kitchen,Coffee Maker,294.76,4,30/01/2024,Asia,Obrienstad,Iowa,Paraguay,43.99,5,30/01/2024,1179.04,660.38,-47.04
Apparel,Jeans,134.34,15,04/09/2024,Asia,East Christineview,Colorado,United States Virgin Islands,5.01,4,08/09/2024,2015.1,1914.14,705.08
Apparel,T-Shirt,270.37,11,22/04/2023,Europe,Erinland,Kentucky,Peru,16.46,2,26/04/2023,2974.07,2484.54,700.1
Apparel,Shoes,284.51,6,01/03/2024,North America,East Matthewport,Florida,Pakistan,31.61,1,02/03/2024,1707.06,1167.46,143.22
Electronics,Tablet,307.88,10,14/10/2024,North America,Caitlinchester,Oregon,Swaziland,34.07,2,17/10/2024,3078.8,2029.85,182.57
Beauty,Nail Polish,495.94,6,16/04/2023,Europe,East Alexisbury,Kentucky,Kiribati,38.38,4,17/04/2023,2975.64,1833.59,48.21
Electronics,Laptop,201.74,3,20/11/2023,Europe,Robertland,Arkansas,China,22,2,21/11/2023,605.22,472.07,108.94
Beauty,Nail Polish,105.83,9,08/11/2023,South America,Amandaberg,Texas,Gambia,45.25,4,11/11/2023,952.47,521.48,-50
Books,Biography,278.29,19,04/09/2023,South America,East Latasha,Wyoming,Somalia,17.87,1,06/09/2023,5287.51,4342.63,1170.13
Electronics,Headphones,280.99,12,02/07/2024,Asia,Chungberg,Idaho,Georgia,32.19,3,03/07/2024,3371.88,2286.47,263.34
Electronics,Smartwatch,93.47,12,28/04/2023,Australia,Port Karen,Minnesota,Belgium,26.24,3,30/04/2023,1121.64,827.32,154.34
Electronics,Tablet,281.75,3,13/04/2023,Europe,Castillohaven,New Hampshire,Norway,30.89,1,13/04/2023,845.25,584.15,77
Apparel,T-Shirt,244.46,3,04/10/2023,Europe,Davidtown,Maryland,Burkina Faso,33.78,2,09/10/2023,733.38,485.64,45.62
Apparel,Sweater,494.31,6,21/11/2024,North America,South Ambermouth,Wisconsin,Myanmar,36.96,1,26/11/2024,2965.86,1869.68,90.16
Beauty,Lipstick,290.94,15,17/05/2023,Europe,South Angela,Michigan,Falkland Islands (Malvinas),25.83,1,18/05/2023,4364.1,3236.85,618.39
Beauty,Lipstick,388.23,9,12/10/2024,Asia,Port Sean,Michigan,Australia,35.55,5,12/10/2024,3494.07,2251.93,155.49
Electronics,Smartwatch,202.07,16,11/11/2024,Europe,South Hunter,Pennsylvania,Burundi,14.01,1,15/11/2024,3233.12,2780.16,840.29
Beauty,Perfume,73.34,9,24/08/2024,North America,Gordonchester,Ohio,Iran,2.24,2,24/08/2024,660.06,645.27,249.24
Apparel,Jacket,432.6,15,12/08/2023,Europe,Samanthaside,Illinois,Guernsey,18.38,4,14/08/2023,6489,5296.32,1402.92
Beauty,Perfume,63.95,5,21/08/2023,South America,Michaelland,Rhode Island,Australia,25.46,4,21/08/2023,319.75,238.34,46.49
Books,Fiction Novel,118.74,4,23/10/2024,Asia,North Robertfort,New York,Bahamas,10.46,5,23/10/2024,474.96,425.28,140.3
Apparel,Shoes,392.64,19,14/05/2023,Australia,Lake Vickibury,Florida,Algeria,48.59,1,14/05/2023,7460.16,3835.27,-640.83
Books,Self-Help Guide,474.88,16,03/02/2023,North America,Jacksonmouth,South Carolina,Egypt,15.57,3,03/02/2023,7598.08,6415.06,1856.21
Beauty,Shampoo,54.64,2,07/02/2024,South America,Youngville,Ohio,Portugal,15.43,1,12/02/2024,109.28,92.42,26.85
Home & Kitchen,Coffee Maker,256.63,12,14/01/2023,North America,Lake Alexismouth,Connecticut,Senegal,24.17,5,19/01/2023,3079.56,2335.23,487.49
Electronics,Smartphone,394.11,10,27/04/2023,North America,Port Scott,Illinois,Montserrat,2.57,2,30/04/2023,3941.1,3839.81,1475.15
Apparel,Jeans,401.42,13,29/03/2023,Australia,Dakotaborough,California,Guernsey,45.99,5,01/04/2023,5218.46,2818.49,-312.59
Books,Biography,308.94,14,03/05/2024,Europe,South Albert,Iowa,Taiwan,5.12,4,04/05/2024,4325.16,4103.71,1508.62
Home & Kitchen,Microwave,343.86,20,30/12/2023,Europe,Reeseside,Colorado,Guam,7.62,1,01/01/2024,6877.2,6353.16,2226.84
Home & Kitchen,Vacuum Cleaner,30.77,5,07/01/2024,Europe,Hardingland,Kentucky,Morocco,11.34,4,07/01/2024,153.85,136.4,44.09
